Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,373.86,375.90,366.77,370.87,366.11,25258600
2024-01-03,369.01,373.26,368.51,370.60,365.84,23083500
2024-01-04,370.67,373.10,367.17,367.94,363.21,20901500
2024-01-05,368.97,372.06,366.50,367.75,363.03,21004600
2024-01-08,369.30,375.20,369.01,374.69,369.88,23134000
2024-01-09,372.01,375.99,371.19,375.79,370.96,20830000
2024-01-10,376.37,384.17,376.32,382.77,377.85,25514200
2024-01-11,386.00,390.68,380.38,384.63,379.69,27850800
2024-01-12,385.49,388.68,384.65,388.47,383.48,21661200
2024-01-16,393.66,394.03,387.62,390.27,385.26,27202300
2024-01-17,387.98,390.11,384.81,389.47,384.47,22234100
2024-01-18,391.72,393.99,390.12,393.87,388.81,23392100
2024-01-19,395.76,398.67,393.50,398.67,393.55,29331100
2024-01-22,400.02,400.62,393.59,396.51,391.42,27016900
2024-01-23,395.75,399.38,393.93,398.90,393.78,20525900
2024-01-24,401.54,405.63,400.45,402.56,397.39,24867000
2024-01-25,404.32,407.01,402.53,404.87,399.67,21021200
2024-01-26,404.37,406.17,402.43,403.93,398.74,17803300
2024-01-29,406.06,409.98,404.33,409.72,404.46,24510200
2024-01-30,412.26,413.05,406.45,408.59,403.34,33477600
2024-01-31,406.96,415.32,397.21,397.58,392.47,47871100
2024-02-01,401.83,408.00,401.80,403.78,398.59,30657700
2024-02-02,403.81,412.65,403.56,411.22,405.94,28256700
2024-02-05,409.90,411.16,403.99,405.65,400.44,25352300
2024-02-06,405.88,407.97,402.91,405.49,400.28,18382600
2024-02-07,407.44,414.30,407.40,414.05,408.73,22340500
2024-02-08,414.05,415.56,412.53,414.11,408.79,21225300
2024-02-09,415.25,420.82,415.09,420.55,415.15,22032800
2024-02-12,420.56,420.74,414.75,415.26,409.93,21202900
2024-02-13,404.94,410.07,403.39,406.32,401.10,27824900
2024-02-14,408.07,409.84,404.57,409.49,404.98,20401200
2024-02-15,408.14,409.13,404.29,406.56,402.08,21825500
2024-02-16,407.96,408.29,403.44,404.06,399.61,22296500
2024-02-20,403.24,404.49,398.01,402.79,398.35,24307900
2024-02-21,400.17,402.29,397.22,402.18,397.75,18518900
2024-02-22,410.19,412.83,408.57,411.65,407.11,27009900
2024-02-23,415.67,415.86,408.97,410.34,405.82,16295900
2024-02-26,411.46,412.16,407.36,407.54,403.05,16193500
2024-02-27,407.99,408.32,403.85,407.48,402.99,14835800
2024-02-28,408.18,409.30,405.32,407.72,403.23,13183100
2024-02-29,408.64,414.20,405.92,413.64,409.08,31947300
2024-03-01,411.27,415.87,410.88,415.50,410.92,17823400
2024-03-04,413.44,417.35,412.32,414.92,410.35,17596000
2024-03-05,413.96,414.25,400.64,402.65,398.21,26919200
2024-03-06,402.97,405.16,398.39,402.09,397.66,22344100
2024-03-07,406.12,409.78,402.24,409.14,404.63,18718500
2024-03-08,407.96,410.42,404.33,406.22,401.74,18002200
2024-03-11,403.76,405.68,401.26,404.52,400.06,16120800
2024-03-12,407.62,415.57,406.79,415.28,410.70,22457000
2024-03-13,418.10,418.18,411.45,415.10,410.53,17115900
2024-03-14,420.24,427.82,417.99,425.22,420.53,34157300
2024-03-15,419.29,422.60,412.79,416.42,411.83,45079900
2024-03-18,414.25,420.73,413.78,417.32,412.72,20106000
2024-03-19,417.83,421.67,415.55,421.41,416.77,19837900
2024-03-20,422.00,425.96,420.66,425.23,420.54,17860100
2024-03-21,429.83,430.82,427.16,429.37,424.64,21296200
2024-03-22,429.70,429.86,426.07,428.74,424.01,17648500
2024-03-25,425.24,427.41,421.61,422.86,418.20,18060500
2024-03-26,425.61,425.99,421.35,421.65,417.00,16725600
2024-03-27,424.44,424.45,419.01,421.43,416.79,16705000
2024-03-28,420.96,421.87,419.12,420.72,416.08,21871200
2024-04-01,423.95,427.89,422.22,424.57,419.89,16316000
2024-04-02,420.11,422.38,417.84,421.44,416.80,17912000
2024-04-03,419.73,423.26,419.09,420.45,415.82,16502300
2024-04-04,424.99,428.67,417.57,417.88,413.27,19370900
2024-04-05,420.01,426.51,418.32,425.52,420.83,16554800
2024-04-08,425.17,427.28,423.30,424.59,419.91,14272400
2024-04-09,426.44,427.74,421.62,426.28,421.58,12496900
2024-04-10,422.19,424.03,419.70,423.26,418.60,16216600
2024-04-11,425.82,429.37,422.36,427.93,423.21,17966400
2024-04-12,424.05,425.18,419.77,421.90,417.25,19253800
2024-04-15,426.60,426.82,413.43,413.64,409.08,20273500
2024-04-16,414.57,418.40,413.73,414.58,410.01,16765600
2024-04-17,417.25,418.88,410.33,411.84,407.30,15855500
2024-04-18,410.63,411.89,403.95,404.27,399.81,21029900
2024-04-19,404.03,405.48,397.77,399.12,394.72,30565800
2024-04-22,400.08,402.85,395.75,400.96,396.54,20286900
2024-04-23,404.24,408.20,403.06,407.57,403.08,15734500
2024-04-24,409.56,412.47,406.78,409.06,404.55,15065300
2024-04-25,394.03,399.89,388.03,399.04,394.64,40586500
2024-04-26,412.17,413.00,405.76,406.32,401.84,29694700
2024-04-29,405.25,406.32,399.19,402.25,397.82,19582100
