Date,Open,High,Low,Close,Adj Close,Volume
2024-11-01,199.00,200.50,197.02,197.93,197.93,99687800
2024-11-04,196.45,197.33,194.31,195.78,195.78,38492100
2024-11-05,196.04,199.82,195.99,199.50,199.50,30564800

