Date,Open,High,Low,Close,Adj Close,Volume
2024-11-01,170.07,172.32,168.88,171.29,170.54,31796500
2024-11-04,169.93,170.73,168.01,169.24,168.50,21492700
2024-11-05,169.43,170.53,168.84,169.74,168.99,18242100

